user,item
27968,5995
27968,2502
27968,6016
27968,1222
27968,1193
27968,1230
27968,3362
27968,1208
27968,3949
27968,750
67764,2916
67764,2571
67764,33493
67764,5903
67764,5679
67764,8371
67764,2167
67764,5219
67764,6754
67764,3300
2581,1923
2581,5989
2581,778
2581,593
2581,7254
2581,7361
2581,4226
2581,2329
2581,2571
2581,296
82969,4011
82969,47
82969,593
82969,4226
82969,2028
82969,1687
82969,44199
82969,2959
82969,296
82969,58559
137831,4226
137831,60069
137831,7361
137831,296
137831,88125
137831,68157
137831,49272
137831,68358
137831,356
137831,81845
48639,150
48639,589
48639,3147
48639,457
48639,318
48639,2716
48639,8360
48639,2762
48639,2571
48639,6539
97870,27773
97870,7022
97870,293
97870,1222
97870,316
97870,7361
97870,1580
97870,52281
97870,1270
97870,780
40424,953
40424,110
40424,1961
40424,500
40424,2324
40424,260
40424,8961
40424,150
40424,2571
40424,5952
46835,480
46835,288
46835,58559
46835,318
46835,110
46835,293
46835,33794
46835,1222
46835,1198
46835,593
79570,95510
79570,5449
79570,68157
79570,87222
79570,4016
79570,58803
79570,8807
79570,2762
79570,2294
79570,90746
94515,1221
94515,2028
94515,364
94515,1136
94515,293
94515,6874
94515,1193
94515,2762
94515,32
94515,593
137854,1209
137854,44191
137854,2176
137854,39292
137854,26242
137854,8970
137854,33493
137854,2018
137854,1281
137854,41569
11263,8914
11263,318
11263,47
11263,5673
11263,293
11263,1464
11263,50
11263,44761
11263,2329
11263,44788
47054,2329
47054,1799
47054,7153
47054,4963
47054,5146
47054,5418
47054,32
47054,6333
47054,5445
47054,5903
37161,1304
37161,3421
37161,5010
37161,1086
37161,1358
37161,2403
37161,5956
37161,3735
37161,3362
37161,1343
90747,2858
90747,49272
90747,1246
90747,7143
90747,2762
90747,5445
90747,110
90747,5952
90747,527
90747,318
127601,55765
127601,7438
127601,2858
127601,55820
127601,96821
127601,5989
127601,80463
127601,81845
127601,84152
127601,64957
39688,2762
39688,4993
39688,527
39688,4306
39688,6539
39688,920
39688,1225
39688,5991
39688,595
39688,4308
3293,4027
3293,2329
3293,1060
3293,34542
3293,1732
3293,1923
3293,223
3293,8949
3293,6380
3293,3949
18760,1961
18760,4979
18760,46578
18760,1704
18760,1193
18760,111
18760,858
18760,1089
18760,47
18760,1258
35856,2542
35856,3793
35856,87232
35856,1732
35856,4011
35856,57669
35856,88129
35856,74458
35856,48774
35856,68237
102653,4034
102653,589
102653,2716
102653,2997
102653,1259
102653,356
102653,1288
102653,2028
102653,1197
102653,1214
44617,4226
44617,42632
44617,5225
44617,4886
44617,40815
44617,593
44617,63082
44617,56757
44617,8973
44617,2291
82532,1266
82532,1393
82532,1302
82532,1961
82532,2762
82532,150
82532,2858
82532,5464
82532,4022
82532,4034
81551,43396
81551,8530
81551,57669
81551,53123
81551,46850
81551,57243
81551,30803
81551,38886
81551,5890
81551,58303
63175,923
63175,1945
63175,3030
63175,2731
63175,1248
63175,2019
63175,5147
63175,5603
63175,5291
63175,1217
102732,480
102732,2028
102732,6874
102732,79132
102732,2987
102732,4226
102732,356
102732,3114
102732,1
102732,6377
123672,8360
123672,4963
123672,33794
123672,1234
123672,480
123672,6333
123672,3793
123672,6377
123672,260
123672,1
97474,1527
97474,344
97474,3624
97474,6378
97474,2273
97474,8360
97474,8972
97474,34405
97474,8644
97474,780
98293,7438
98293,44191
98293,8984
98293,8644
98293,5418
98293,5254
98293,3578
98293,6754
98293,5872
98293,6333
85632,318
85632,30793
85632,364
85632,4226
85632,4308
85632,2762
85632,41566
85632,4306
85632,2858
85632,40815
129576,72998
129576,1682
129576,1721
129576,60069
129576,8958
129576,1961
129576,6539
129576,40815
129576,50872
129576,8360
457,1682
457,2028
457,1036
457,110
457,912
457,2115
457,4878
457,48394
457,1210
457,260
133514,1617
133514,48780
133514,2716
133514,60069
133514,1214
133514,457
133514,4027
133514,1923
133514,1580
133514,32587
30737,54259
30737,69757
30737,3000
30737,6539
30737,60069
30737,1246
30737,96821
30737,7147
30737,98809
30737,1197
100288,32587
100288,59387
100288,68157
100288,45722
100288,63082
100288,72489
100288,65682
100288,79139
100288,53125
100288,69951
63791,1210
63791,590
63791,8961
63791,912
63791,1270
63791,7153
63791,5952
63791,1961
63791,4993
63791,2571
78521,1258
78521,7438
78521,778
78521,293
78521,6874
78521,4878
78521,8950
78521,3949
78521,32
78521,27803
84886,6774
84886,1254
84886,8207
84886,5604
84886,1245
84886,1301
84886,680
84886,4754
84886,6305
84886,1913
110828,6502
110828,778
110828,48394
110828,147
110828,2858
110828,4878
110828,7361
110828,2959
110828,2329
110828,3949
131016,1193
131016,44191
131016,4973
131016,4886
131016,4306
131016,50
131016,2762
131016,4226
131016,8961
131016,5952
5393,908
5393,39292
5393,8917
5393,38038
5393,951
5393,80463
5393,40819
5393,58559
5393,1254
5393,54503
74051,3916
74051,293
74051,5110
74051,2716
74051,32587
74051,1485
74051,2231
74051,1198
74051,858
74051,2302
15628,1270
15628,110
15628,5418
15628,2571
15628,377
15628,648
15628,608
15628,2858
15628,50
15628,318
22246,2291
22246,593
22246,8874
22246,1748
22246,4848
22246,1089
22246,2858
22246,4553
22246,296
22246,1199
4055,5989
4055,5952
4055,7153
4055,32
4055,110
4055,1704
4055,3793
4055,480
4055,2011
4055,357
37939,1221
37939,592
37939,1213
37939,4226
37939,858
37939,1288
37939,930
37939,50
37939,1252
37939,6331
24856,6377
24856,64614
24856,49530
24856,1196
24856,1198
24856,32
24856,80489
24856,589
24856,480
24856,2762
123019,3468
123019,50
123019,1304
123019,1293
123019,3198
123019,1262
123019,5989
123019,5995
123019,318
123019,30749
68906,2858
68906,260
68906,593
68906,3578
68906,54286
68906,2716
68906,2762
68906,47
68906,4306
68906,2571
52155,2918
52155,6377
52155,110
52155,356
52155,1196
52155,2959
52155,6539
52155,8961
52155,318
52155,1136
115183,3083
115183,32
115183,4306
115183,8961
115183,608
115183,2997
115183,1258
115183,63082
115183,778
115183,6016
28748,4878
28748,356
28748,48394
28748,1230
28748,3503
28748,5878
28748,527
28748,5995
28748,26150
28748,2692
81158,48304
81158,47
81158,31364
81158,3949
81158,7254
81158,593
81158,27741
81158,293
81158,111
81158,318
114566,49272
114566,47200
114566,8636
114566,65682
114566,5349
114566,56156
114566,5903
114566,8972
114566,6333
114566,56174
43796,5418
43796,110
43796,57669
43796,69122
43796,4886
43796,2329
43796,74458
43796,296
43796,4995
43796,48394
87294,6016
87294,2291
87294,2762
87294,1246
87294,2019
87294,1682
87294,4226
87294,2028
87294,1298
87294,7438
70546,2232
70546,2858
70546,293
70546,2916
70546,750
70546,7022
70546,2985
70546,1255
70546,1274
70546,1210
105479,1288
105479,7147
105479,2959
105479,3481
105479,6942
105479,6296
105479,4886
105479,2502
105479,8366
105479,8910
128762,318
128762,914
